,disython_sub2,disython_sub1,ratio
64,5,4,0.003319668119668433
44,5,3,0.003309840801374566
41,2,3,0.0032994238439830667
199,20,10,0.0032842897738105123
352,13,18,0.0032842897738105115
204,5,11,0.0032677798790768137
344,5,18,0.0032667971472474253
61,2,4,0.0032630627662957584
332,13,17,0.0032605076635393517
133,14,7,0.003257559468051192
71,12,4,0.0032473390570255693
183,4,10,0.0032467494179279363
321,2,17,0.003228863698633098
359,20,18,0.00322159148309564
139,20,7,0.0032184467412415974
202,3,11,0.003212157257533524
343,4,18,0.0032019368465079022
219,20,11,0.003197809372824478
59,20,3,0.003189750971823507
330,11,17,0.0031866062299694695
127,8,7,0.0031830683953836705
345,6,18,0.003167737778845243
325,6,17,0.0031553553577949736
215,16,11,0.003150245152282162
185,6,10,0.00314710041042812
322,3,17,0.0031386489166953945
273,14,14,0.0031307870620603025
266,7,14,0.003129804330230914
123,4,7,0.0031213528364981923
62,3,4,0.0031162426309853785
42,3,3,0.003111918610936077
274,15,14,0.0031097566009114243
188,9,10,0.003094032891641236
201,2,11,0.003090495057055445
132,13,7,0.003090101964323691
70,11,4,0.0030655336685890227
190,11,10,0.003062978565832615
55,16,3,0.0030614061949055973
130,11,7,0.003058064906685683
328,9,17,0.00305295470117287
36,17,2,0.0030494168665870782
355,16,18,0.0030468617638306716
197,18,10,0.003037230991902683
267,8,14,0.003027796766340569
351,12,18,0.003025831302681795
203,4,11,0.0030246520244865327
262,3,14,0.0030034250169717796
50,11,3,0.0029939907914096646
337,18,17,0.002993794245043788
335,16,17,0.002986718575872208
394,15,20,0.0029863254831404445
350,11,18,0.0029853427513110617
125,6,7,0.0029816083703593965
323,4,17,0.002971191412967891
68,9,4,0.0029688328565773657
272,13,14,0.0029664743001868365
57,18,3,0.0029627399192351683
261,2,14,0.0029505540445507717
122,3,7,0.0029354199743782156
392,13,20,0.0029297201297677727
264,5,14,0.002929327037036017
348,9,18,0.0029251995633525953
382,3,20,0.002903186370374331
279,20,14,0.0029014174530814342
386,7,20,0.0029010243603496836
63,4,4,0.0028972899793980092
131,12,7,0.002894538330275727
210,11,11,0.0028847110119818594
54,15,3,0.0028823524555913306
137,18,7,0.002856801428027277
48,9,3,0.002854442871636749
357,18,18,0.002843043182415861
135,16,7,0.002832036585926731
331,12,17,0.0028224058139987365
43,4,3,0.002811595763875485
275,16,14,0.002801178806483986
45,6,3,0.002800589167386353
270,11,14,0.002797444425532316
65,6,4,0.0027962651473370527
329,10,17,0.002786241282677308
77,18,4,0.0027697313879436105
33,14,2,0.0027616729869426376
277,18,14,0.002755186956868685
51,12,3,0.0027502732977217528
75,16,4,0.0027426079894525353
128,9,7,0.0027251153628894513
349,10,18,0.002715288044595584
26,7,2,0.002712929488205055
256,17,13,0.0026761753177859927
393,14,20,0.0026757822250542424
271,12,14,0.002664972174930983
388,9,20,0.002660648154881681
396,17,20,0.0026569137739300107
32,13,2,0.002626449087219023
209,10,11,0.0026219285208038427
263,4,14,0.002589301824068202
69,10,4,0.0025625715183088833
265,6,14,0.0025380032225742147
27,8,2,0.0025279793579144707
218,19,11,0.002525227708792187
30,11,2,0.0025171693077912166
387,8,20,0.0024812013228356624
24,5,2,0.002454274470710464
268,9,14,0.0024471988015388785
198,19,10,0.0024273476185852675
39,20,2,0.0023988483955330498
34,15,2,0.002392165819093221
246,7,13,0.0023758524707254004
78,19,4,0.002371724997041978
58,19,3,0.0023597356687234602
31,12,2,0.0023251435083290455
49,10,3,0.0023225884055726406
381,2,20,0.00231964021008448
278,19,14,0.0023137438191081603
390,11,20,0.002297037378008588
376,17,19,0.002288585884275854
162,3,9,0.0022822964005677817
338,19,17,0.002271682896810406
259,20,13,0.002254190270247321
255,16,13,0.002249866250198021
389,10,20,0.002248293879271001
116,17,6,0.0022423974882946804
37,18,2,0.0022333563554643235
253,14,13,0.002233356355464323
21,2,2,0.0022327667163666923
189,10,10,0.0022321770772690606
316,17,16,0.002231390891805551
254,15,13,0.0022296219745126535
176,17,9,0.002219205017121154
384,5,20,0.002218222285291768
383,4,20,0.00221743609982826
23,4,2,0.0022170430070965028
200,1,11,0.002214684450705976
252,13,13,0.002203088215119211
399,20,20,0.0021960125459476267
129,10,7,0.0021948332677523617
22,3,2,0.002193653989557099
296,17,15,0.0021877575985807785
395,16,20,0.0021836301248973518
340,1,18,0.002174785538432873
269,10,14,0.0021698718792859386
180,1,10,0.0021537550772839967
25,6,2,0.0021523792527228564
244,5,13,0.00215119997452759
241,2,13,0.002150413789064082
28,9,2,0.0021449104908195164
247,8,13,0.0021423553880631093
306,7,16,0.0021221111123777433
391,12,20,0.002112873433181507
35,16,2,0.002103439207619396
138,19,7,0.0020717952427131412
301,2,16,0.002069240139956736
251,12,13,0.0020647195735415563
320,1,17,0.0020617713780533963
302,3,16,0.002058233543467605
60,1,4,0.0020544991625159356
106,7,6,0.002039954731441012
242,3,13,0.0020222655585120496
234,15,12,0.002007328034705371
113,14,6,0.0020043798392172106
358,19,18,0.0020016281900949277
156,17,8,0.0019931766963622016
366,7,19,0.0019701807715545518
177,18,9,0.001967232576066391
250,11,13,0.0019550467013819965
314,15,16,0.00194738139311278
374,15,19,0.0019469883003810251
307,8,16,0.0019074824808396782
104,5,6,0.001902372275326867
154,15,8,0.001895689698887036
243,4,13,0.0018852727414955365
112,13,6,0.0018776074332263193
103,4,6,0.0018758385159334237
153,14,8,0.0018662077440054345
166,7,9,0.0018624733630537653
313,14,16,0.0018618837239561337
397,18,20,0.0018581493430044622
114,15,6,0.0018404601700755
312,13,16,0.0018396739846119916
40,1,3,0.0018386912527826062
107,8,6,0.0018371188818555853
373,14,19,0.0018367257891238318
146,7,8,0.0018286673881228604
173,14,9,0.0018278812026593513
362,3,19,0.0018223779044147855
375,16,19,0.0018200193480242567
119,20,6,0.001815302235243201
248,9,13,0.0018149091425114458
151,12,8,0.0018064576487787194
245,6,13,0.0018017405359976634
6,7,1,0.0017930924958990601
147,8,8,0.0017842479094345792
319,20,16,0.0017801204357511548
311,12,16,0.0017773687866288728
14,15,1,0.0017769756938971174
172,13,9,0.0017744205911407124
286,7,15,0.001772651673847817
315,16,16,0.0017663621901397406
110,11,6,0.0017659690974079862
152,13,8,0.0017588934282363996
294,15,15,0.0017583037891387694
4,5,1,0.0017577141500411365
303,4,16,0.0017498522954060433
174,15,9,0.0017492626563084112
232,13,12,0.0017476902853813929
293,14,15,0.001746117914454373
367,8,19,0.0017457248217226198
120,1,7,0.0017441524507956002
260,1,14,0.0017396318843804206
287,8,15,0.00173668368889226
115,16,6,0.001728232195159535
111,12,6,0.0017270529169642703
29,10,2,0.0017168325059386494
304,5,16,0.001716832505938649
155,16,8,0.0017052362703518847
292,13,15,0.001693443488399243
305,6,16,0.0016853850873982733
299,20,15,0.0016853850873982717
365,6,19,0.0016798817891537066
167,8,9,0.00167811287186081
363,4,19,0.0016747715836408965
310,11,16,0.0016726095736162444
102,3,6,0.0016726095736162444
284,5,15,0.0016712337490551018
364,5,19,0.0016625857089565016
101,2,6,0.0016617995234929908
171,12,9,0.001656885864346056
282,3,15,0.0016553134934190385
317,18,16,0.0016541342152237746
175,16,9,0.0016466654533204344
7,8,1,0.0016445034432957845
11,12,1,0.0016370346813924452
257,18,13,0.001634283032270163
117,18,6,0.001634086485904284
142,3,8,0.0016305486513184908
372,13,19,0.0016232764357810294
16,17,1,0.0016189524157317289
157,18,8,0.0016156111275118126
12,13,1,0.001614038756584795
144,5,8,0.0016059803555838218
179,20,9,0.0016044079846568044
13,14,1,0.0016014597891686449
258,19,13,0.0015949737590946911
361,2,19,0.0015871119044595968
161,2,9,0.0015863257189960875
297,18,15,0.0015853429871667008
105,6,6,0.0015739432979458145
170,11,9,0.0015676538142377397
159,20,8,0.0015609712377979102
150,11,8,0.0015458371676253528
141,2,8,0.001543675157600703
308,9,16,0.0015434786112348267
370,11,19,0.0015387614984537692
164,5,9,0.0015303100047210437
371,12,19,0.0015250032528423556
249,10,13,0.0015250032528423547
291,12,15,0.001522644696451828
148,9,8,0.0015187137691342807
145,6,8,0.0015161586663778738
379,20,19,0.0015116380999626957
19,20,1,0.0015041693380593568
223,4,12,0.0015020073280347065
5,6,1,0.001500631503473563
368,9,19,0.001499648771644177
2,3,1,0.0014945385661313665
108,9,6,0.0014890352678868007
38,19,2,0.0014803872277881964
290,11,15,0.0014799941350564412
163,4,9,0.0014731150122507348
398,19,20,0.0014615187766639712
295,16,15,0.001461518776663971
143,4,8,0.001454246561126509
281,2,15,0.0014534603756629994
233,14,12,0.0014389159445880747
377,18,19,0.0014340022854411427
235,16,12,0.0014330195536117563
10,11,1,0.0014253542453425386
222,3,12,0.0014226025962202564
227,8,12,0.0014186716689027084
283,4,15,0.001411792546097002
15,16,1,0.0014096305360723502
1,2,1,0.0014037341450960307
168,9,9,0.00138309677667891
8,9,1,0.0013748418293120593
285,6,15,0.001361869769164154
165,6,9,0.0013606904909688913
239,20,12,0.001348897709016251
17,18,1,0.0013459495135280902
3,4,1,0.0013426082253081755
289,10,15,0.0013327809070143083
20,1,2,0.0013198088468664025
231,12,12,0.0013111608067677978
225,6,12,0.0012824650373497056
230,11,12,0.001273620450885225
369,10,19,0.0012704757090311876
224,5,12,0.0012647758644207447
288,9,15,0.00125612782432214
380,1,20,0.001249248701516435
309,10,16,0.0012278251476358036
109,10,6,0.0012260562303429065
221,2,12,0.0012052223155599073
169,10,9,0.0011879262353626998
300,1,16,0.001183602215313399
318,19,16,0.0011753472679465512
118,19,6,0.0011625717541645228
100,1,6,0.0011421309321132797
140,1,8,0.0011262106764772125
240,1,13,0.001123065934623175
298,19,15,0.0011222797491596667
149,10,8,0.0010947632579368374
237,18,12,0.001087294496033499
18,19,1,0.0010849359396429697
238,19,12,0.001076091353178489
9,10,1,0.0010644951175917254
228,9,12,0.0010318684208560857
280,1,15,0.001007693217853171
160,1,9,0.0010041553832673784
360,1,19,0.001003369197803869
178,19,9,0.0009953107968028983
229,10,12,0.0009642564709942769
378,19,19,0.0009552153381639189
158,19,8,0.0009536429672369009
220,1,12,0.0006810331577650162
0,1,1,0.00035142490218870105
